"term","b","se","p","star","ci_lo","ci_hi"
"(Intercept)",-7.713,0.705,7.81208001193523e-28,"***",-9.096,-6.331
"anti_elite",1.333,0.221,1.64853378925349e-09,"***",0.899,1.766
"pr",0.688,0.162,2.2258611985916e-05,"***",0.37,1.006
"age_c",-0.118,0.098,0.229186745277127,"",-0.31,0.074
"female",-0.25,0.345,0.468338061845857,"",-0.927,0.426
"edu_c",-0.518,0.129,5.94774877429142e-05,"***",-0.771,-0.265
"lr_c",1.922,0.151,2.48442572596882e-37,"***",1.627,2.217
"satdem_c",-1.466,0.326,7.10895538276261e-06,"***",-2.106,-0.826
"anti_elite:pr",0.182,0.154,0.235644994527176,"",-0.119,0.483
